"businessentityid","personname","emailaddress","phonenumber","totalpurchaseytd"
16617,"Nichole Nara","nichole16@adventure-works.com","1 (11) 500 555-0152","9650.76000"
4987,"Rosa Hu","rosa20@adventure-works.com","1 (11) 500 555-0192","9566.43000"
17731,"Margaret He","margaret25@adventure-works.com","1 (11) 500 555-0112","9547.55000"
2436,"Lisa Cai","lisa24@adventure-works.com","1 (11) 500 555-0125","9263.66180"
12395,"Lacey Zheng","lacey32@adventure-works.com","1 (11) 500 555-0174","8947.42180"
9067,"Maurice Shan","maurice11@adventure-works.com","1 (11) 500 555-0130","8402.24180"
6238,"Janet Munoz","janet12@adventure-works.com","1 (11) 500 555-0148","8201.38080"
3885,"Marco Lopez","marco17@adventure-works.com","1 (11) 500 555-0186","8176.06040"
16035,"Jordan Turner","jordan59@adventure-works.com","1 (11) 500 555-0176","7369.42040"
20610,"Kaitlyn Henderson","kaitlyn72@adventure-works.com","1 (11) 500 555-0154","7341.05000"
16701,"Francisco Sara","francisco11@adventure-works.com","1 (11) 500 555-0166","7231.50000"
8097,"Terrance Rodriguez","terrance17@adventure-works.com","1 (11) 500 555-0141","7214.99000"
14443,"Lawrence Alonso","lawrence6@adventure-works.com","1 (11) 500 555-0169","7209.37000"
19769,"Alicia Shen","alicia1@adventure-works.com","1 (11) 500 555-0143","7209.05750"
18447,"Larry Vazquez","larry17@adventure-works.com","1 (11) 500 555-0140","7196.39000"
20108,"Ronald Kapoor","ronald3@adventure-works.com","1 (11) 500 555-0125","7188.38750"
4627,"Kate Anand","kate19@adventure-works.com","1 (11) 500 555-0179","7186.87000"
15603,"Ricky Vazquez","ricky15@adventure-works.com","1 (11) 500 555-0147","7181.40000"
6810,"Clarence Gao","clarence8@adventure-works.com","1 (11) 500 555-0113","7176.69000"
12345,"Colleen Goel","colleen42@adventure-works.com","1 (11) 500 555-0123","7151.38750"
5091,"Andres Nara","andres14@adventure-works.com","1 (11) 500 555-0173","7134.00000"
15834,"Cole Stewart","cole23@adventure-works.com","1 (11) 500 555-0188","7131.39750"
14974,"Randall Dominguez","randall14@adventure-works.com","1 (11) 500 555-0136","7107.11000"
16329,"Katrina Tang","katrina3@adventure-works.com","1 (11) 500 555-0133","7045.38000"
7289,"Cindy Patel","cindy3@adventure-works.com","1 (11) 500 555-0149","6459.02000"
2903,"Sydney Bryant","sydney40@adventure-works.com","1 (11) 500 555-0156","6443.01000"
9769,"Deanna Perez","deanna24@adventure-works.com","1 (11) 500 555-0191","6435.01000"
13930,"Wendy Alvarez","wendy5@adventure-works.com","1 (11) 500 555-0118","6432.03040"
19791,"Jasmine Stewart","jasmine22@adventure-works.com","1 (11) 500 555-0165","6429.03000"
3933,"Bryant Garcia","bryant14@adventure-works.com","1 (11) 500 555-0115","6425.03000"
18684,"Diana Ortega","diana21@adventure-works.com","1 (11) 500 555-0184","6414.03040"
13861,"Desiree Dominguez","desiree9@adventure-works.com","1 (11) 500 555-0133","6408.04000"
14326,"Kristy Munoz","kristy7@adventure-works.com","1 (11) 500 555-0146","6303.03180"
8250,"Ariana Gray","ariana5@adventure-works.com","1 (11) 500 555-0191","6189.97360"
18487,"Brandi Gill","brandi13@adventure-works.com","1 (11) 500 555-0115","5982.18000"
15881,"Johnathan Suri","johnathan1@adventure-works.com","1 (11) 500 555-0113","5915.52040"
