"nationalidnumber","salesquota","salesytd","saleslastyear","netprofitmet","businessentityid","birthdate","jobtitle","maritalstatus","gender","salariedflag","vacationhours","sickleavehours","currentflag"
"191644724","250000","4251368.5497","1439156.0291","244250.000",276,"1980-02-27","Sales Representative","M","F",True,27,33,True
"668991357","250000","4116871.2277","1635823.3967","239850.00",289,"1968-03-17","Sales Representative","M","F",True,37,38,True
"841560125","300000","3763178.1787","1750406.4785","292300.000",275,"1968-12-25","Sales Representative","S","M",True,38,39,True
"615389812","250000","3189418.3662","1997186.2037","243750.000",277,"1962-08-29","Sales Representative","S","F",True,24,32,True
"134219713","250000","3121616.3202","2396539.7601","245015.000",290,"1975-09-30","Sales Representative","S","M",True,34,37,True
"399771412","250000","2604540.7172","2038234.6549","241250.000",282,"1963-12-11","Sales Representative","M","M",True,31,35,True
"139397894","250000","2458535.6169","2073505.9999","243950.00",281,"1968-03-09","Sales Representative","M","M",True,26,33,True
"716374314","300000","2315185.611","1849640.9418","290300.00",279,"1974-01-18","Sales Representative","M","M",True,29,34,True
"954276278","250000","1827066.7118","1307949.7917","245425.000",288,"1975-07-09","Sales Representative","S","F",True,35,37,True
"90836195","300000","1576562.1966","0","290400.000",284,"1978-01-05","Sales Representative","M","M",True,39,39,True
